,posting_id,title
0,train_129225211,Paper Bag Victoria Secret
1,train_3009013664,MARKS & SPENCER - Rose Hand & Body Lotion 250 ml
2,train_1327117441,Jam Tangan Pria Sporty Quicksilver Ocean Day Date Kulit
3,train_1640409557,CHIL KID GOLD VANILA 800GR
4,train_2720300071,Laneige Cica Sleeping Mask Sample 10ml Original Masker Wajah Leneige Masker Tidur Lanege
5,train_140914082,COOCAA LED TV 40 inch - Android 9.0 - Smart TV - FullHD - Infinity View - Netflix (Model 40S6G)
6,train_3297816647,HHG Kacamata Thug Life Double Mosaic Sunglasses Kaca mata Hitam Wanita Pria Unisex Import
7,train_3122040273,GT MAN - BOXER PKR MISTY - GTM 04
8,train_3919593581,YOU Golden Age Revitalizing Night Cream 30g[Overnight Skin Reviving Complex]
9,train_2010199669,TAS SELEMPANG WANITA SOPHIE MARTIN KULIT MURAH MAROON AMITEE T5299M2 DISKON MEMBER PROMO TERMURAH
10,train_2828504439,NAOMI / naomy OUTER LONG  KARDIGAN LINE RAJUT AGATA
11,train_951314265,Islamic Parenting - Aqwam
12,train_3296206419,TummyTrimmer Alat Pengencang Dan Pengecil Perut Lengan Paha Body
13,train_3464136823,"[Per Pc] Kiss Beauty Cat Claw Set 3in1 Eyeshadow, Blush On, Lipcream"
14,train_1648915230,Gesper Ikat Pinggang Pria Canvas Army Military Tactical 125cm - MU056
15,train_2500339995,Miluota Tali Ikat Pinggang Canvas Army Military Tactical 125cm
16,train_3977286900,Miluota Tali Ikat Pinggang Canvas Army Military Tactical 125cm MU056
17,train_1641797816,Tali Ikat Pinggang Pria Canvas Army Military Tactical 125cm
18,train_533166742,Spidol SNOWMAN Whiteboard Marker
19,train_747128673,FS Beras Setra Wangi Premium 5kg
20,train_3314954320,Nibs Cokelat Kekinian 50 gr
21,train_3436013418,Pembalut Herbal AVAIL Merah/Pink Night Use (per bungkus)
22,train_3546121241,CQ56 - 24 PCS / SET Kuku Palsu Smile Snoopy Gradien Potongan Kuku Palsu Simulasi Lem Alpukat R
23,train_2129499368,HANASUI Serum Gold Jaya Mandiri
24,train_1420756223,MUKENA POLOS MUTIARA DAISY
25,train_3975028088,Wardah Refill Instaperfect Matte Fit Powder Foundation (100% Original)
26,train_2794195507,Jeans Anak 7/8 Wisker 141618/7-10 tahun
27,train_3668574065,MamyPoko Perekat Royal Soft - L 62 - Popok Tape
28,train_857974505,Celana training olahraga kolor pendek pria dewasa jumbo / celana kolor pria pendek dewasa jumbo
29,train_4097891374,BATTERY LENOVO A6000 BL242 ORIGINAL
